ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,16/12/2025,AAA MOKITA FOOD MANAGEMENT & CATERING PTE. LTD.,AAA MOKITA FOOD MANAGEMENT & CATERING,,TeleSales,,Offline Sources,Adhoc,,202012747H,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9183 2482,aaamokitachangi@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,ABR HOLDINGS LIMITED,ABR,,TeleSales,,Offline Sources,Adhoc,,197803023H,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9776 2505,bennyng@swensens.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,BEST HAWA RESTAURANT CHICKEN RICE & SEAFOOD,BEST HAWA RESTAURANT CHICKEN RICE & SEAFOOD,,TeleSales,,Offline Sources,Adhoc,,52966167E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9003 5863,contact.besthawa@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,CHAREN THAI KITCHEN,CHAREN THAI KITCHEN,,TeleSales,,Offline Sources,Adhoc,,53410519W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9859 1946,kktan14505@gmail.com,,,,,multienergysavings@gmail.com,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,COBA COBA,COBA COBA,,TeleSales,,Offline Sources,Adhoc,,53289006W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9630 2292,hello@cobacoba.sg,,,,,admin@carexpress.com.sg,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,DA SHI TANG CATERING PTE. LTD.,DA SHI TANG CATERING,,TeleSales,,Offline Sources,Adhoc,,201331601D,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8399 9147,wangyourui666@qq.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,DAPUR PENYET,DAPUR PENYET,,TeleSales,,Offline Sources,Adhoc,,53309315E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9126 6794,glen@dapurpenyet.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,DARTS LEGEND,DARTS LEGEND,,TeleSales,,Offline Sources,Adhoc,,53255300D,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8666 3236,stevehoong1987@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,ERWIN PTE. LTD.,ERWIN,,TeleSales,,Offline Sources,Adhoc,,201218351W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6235 1613,accounts@erwins.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,GERRY'S GRILL,GERRYS GRILL,,TeleSales,,Offline Sources,Adhoc,,53234744K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8926 2899,rkctang@gerrysgrill.com,,,,,singapore2@gerrysgrill.com,,,,,wangping@gerrysgrill.com,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,FILL-A-PITA PTE. LTD.,FILL A PITA,,TeleSales,,Offline Sources,Adhoc,,201129153C,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9764 1600,hugo@fillapita.co,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,FLOC CAPITAL PRIVATE LIMITED,FLOC CAPITAL,,TeleSales,,Offline Sources,Adhoc,,201943309Z,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9646 0384,junchen@flocgroup.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,FOOD STREET KENG FISH HEAD STEAMBOAT RESTAURANT,FOOD STREET KENG FISH HEAD STEAMBOAT RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,53073715M,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9023 2854,sharonkwafoodstreet@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,FORTUNE COOKIE PROJECTZ PTE. LTD.,FORTUNE COOKIE PROJECTZ,,TeleSales,,Offline Sources,Adhoc,,202031966M,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9720 0079,chyeling@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
