,UEN,MATCHED_NAME,COMPANY_NAME,PIC_NAME,DESIGNATION,CONTACT_NUMBER_1_FORMATTED,CONTACT_NUMBER_2_FORMATTED,CONTACT_NUMBER_3_FORMATTED,ADDRESS,EMAIL_1,EMAIL_2,EMAIL_3,COMPANY_STATUS
0,202012747H,AAA MOKITA FOOD MANAGEMENT & CATERING PTE. LTD.,AAA MOKITA FOOD MANAGEMENT & CATERING PTE. LTD.,,,65 9183 2482,,,,aaamokitachangi@gmail.com,,,LIVE COMPANY
1,197803023H,ABR HOLDINGS LIMITED,ABR HOLDINGS LIMITED,,,65 9776 2505,,,,bennyng@swensens.com.sg,,,LIVE COMPANY
2,52966167E,BEST HAWA RESTAURANT CHICKEN RICE & SEAFOOD,BEST HAWA RESTAURANT CHICKEN RICE & SEAFOOD,,,65 9003 5863,,,,contact.besthawa@gmail.com,,,LIVE
3,53410519W,CHAREN THAI KITCHEN,CHAREN THAI KITCHEN,,,65 9859 1946,,,,kktan14505@gmail.com, multienergysavings@gmail.com,,LIVE
4,53289006W,COBA COBA,COBA COBA,,,65 9630 2292,,,,Hello@cobacoba.sg,admin@carexpress.com.sg,,LIVE
5,201331601D,DA SHI TANG CATERING PTE. LTD.,DA SHI TANG CATERING PTE. LTD.,,,65 8399 9147,,,,Wangyourui666@qq.com,,,LIVE COMPANY
6,53309315E,DAPUR PENYET,DAPUR PENYET,,,65 9126 6794,,,,glen@dapurpenyet.com.sg,,,LIVE
7,53255300D,DARTS LEGEND,DARTS LEGEND,,,65 8666 3236,,,,stevehoong1987@gmail.com,,,LIVE
8,201218351W,ERWIN PTE. LTD.,ERWIN PTE. LTD.,,,65 6235 1613,,,,accounts@erwins.com.sg,,,LIVE COMPANY
9,53234744K,GERRY'S GRILL,GERRY'S GRILL,,,65 8926 2899,,,,rkctang@gerrysgrill.com, Singapore2@gerrysgrill.com, wangping@gerrysgrill.com,LIVE
10,201129153C,FILL-A-PITA PTE. LTD.,FILL A PITA PTE. LTD.,,,65 9764 1600,,,,hugo@fillapita.co,,,LIVE COMPANY
11,201943309Z,FLOC CAPITAL PRIVATE LIMITED,FLOC CAPITAL PTE LTD,,,65 9646 0384,,,,Junchen@flocgroup.com,,,LIVE COMPANY
12,53073715M,FOOD STREET KENG FISH HEAD STEAMBOAT RESTAURANT,FOOD STREET KENG FISH HEAD STEAMBOAT RESTAURANT,,,65 9023 2854,,,,sharonkwafoodstreet@gmail.com,,,LIVE
13,202031966M,FORTUNE COOKIE PROJECTZ PTE. LTD.,FORTUNE COOKIE PROJECTZ PTE. LTD.,,,65 9720 0079,,,,chyeling@gmail.com,,,LIVE COMPANY
14,199403084M,GAO JI FOOD (S) PTE LTD,GAO JI FOOD (S) PTE LTD,,,65 6773 7878,,,,,,,LIVE COMPANY
15,T06LL0243E,GEORGE TOWN TZE CHAR AND CRAFT BEER LLP,GEORGE TOWN TZE CHAR AND CRAFT BEER LLP,,,65 9682 3826,,,,,,,LIVE
16,T15LL1267K,GOOD COFFEE PLEASE LLP,GOOD COFFEE PLEASE LLP,,,65 9010 6454,,,,Jh@good-coffeeplease.com, vp@good-coffeeplease.com,,LIVE
17,T07LL0769F,GRAPEVINE CAFE BAR & RESTAURANT LLP,GRAPEVINE CAFE BAR & RESTAURANT LLP,,,65 9009 6861,,,,lesmich236@gmail.com, grapevineintel@gmail.com, finance.grapevinevenue@gmail.com,LIVE
18,53339840A,HAO LAI WU FOOD ENTERPRISE,HAO LAI WU FOOD ENTERPRISE,,,65 8339 8649,,,,limrichstep@gmail.com,,,LIVE
19,201704518G,HENRY DINING PTE. LTD.,HENRY DINING PTE. LTD.,,,65 9105 8156,,,,c133788@gmail.com,,,LIVE COMPANY
20,201317788W,HOONG YING ENTERPRISE PRIVATE LIMITED,HOONG YING ENTERPRISE PRIVATE LIMITED,,,65 9661 5449,,,,yeow_tk@hsg.com.sg, jennifer_sia@hsg.com.sg, Gina_lim@hsg.com.sg,LIVE COMPANY
21,200408968W,HOT PALETTE (ASIA PACIFIC) PTE. LTD.,HOT PALETTE (ASIA PACIFIC) PTE. LTD.,,,86 06541,,,,winnie@hotpalette-apac.com, celiatan@hotpalette-apac.com, sylim@hotpalette-apac.com,LIVE COMPANY
22,53381900L,ICHI TEI JAPANESE CUISINE (2009),ICHI TEI JAPANESE CUISINE (2009),,,65 9139 1746,,,,ichitei@hotmail.com,,,LIVE
23,53048863M,ILLUZION,ILLUZION,,,65 9106 3912,,,,astickysituation.illuzion@gmail.com,,,LIVE
24,201433677N,JARS VENTURES PRIVATE LIMITED,JARS VENTURES PTE LTD,,,65 9225 6558,,,,janice.lim@jars-ventures.com,,,LIVE COMPANY
25,201023648N,JIA WEI FOOD HUB PRIVATE LIMITED,JIA WEI FOOD HUB PTE LTD,,,65 9106 1932,,,,sharon.tan88888@gmail.com,,,LIVE COMPANY
26,T19LL0800E,KACA COFFEE LLP,KACA COFFEE LLP,,,65 8168 5283,,,,kacacoffeehouse@gmail.com,,,LIVE
27,201910596G,KAI DUCK PRIVATE LIMITED,KAI DUCK PRIVATE LIMITED,,,65 9049 3153,,,,Kaiting@benefitcapital.asia,,,LIVE COMPANY
28,201941471D,MAKANPANDA WESTERN PRIVATE LIMITED,MAKANPANDA WESTERN PTE LTD,,,65 9096 0066,,,,dave.ker77@gmail.com,,,LIVE COMPANY
29,201129730K,MING CHUNG PTE. LTD.,MING CHUNG PTE. LTD.,,,65 9622 0726,,,,peterho@mingchung.com.sg,,,LIVE COMPANY
30,53395289A,MONZEN@GARDEN,MONZEN@GARDEN,,,65 9119 0700,,,,alfredngys@gmail.com,,,LIVE
31,53188868A,MOUNTAIN COFFEE,MOUNTAIN COFFEE,,,65 9040 0002,,,,yorasze@gmail.com,,,LIVE
32,T12LL0905G,NANA THAI WOK RESTAURANT LLP,NANA THAI WOK RESTAURANT LLP,,,65 9247 0816,,,,restaurantnanathai@gmail.com,,,LIVE
33,200403500N,OCTAPAS PRIVATE LIMITED,OCTAPAS PTE LTD,,,65 9732 4435,,,,henny@octapasasia.com, kc@pvglobal.com.sg,,LIVE COMPANY
34,53397104K,PASTIME,PASTIME,,,65 9620 2019,,,,Andy@ftgroup.sg,,,LIVE
35,201223693K,PTF PTE. LTD.,PTF PTE. LTD.,,,65 9353 0860,,,,Craig@ptig.email, julie@rightchoice.email,,LIVE COMPANY
36,201916251R,RED MARBLE PTE. LTD.,RED MARBLE PTE. LTD.,,,65 9639 8668,,,,oneprawnnoodle@gmail.com,,,LIVE COMPANY
37,200106258Z,REMNANT ENTERPRISE PTE LTD,REMNANT ENTERPRISE PTE LTD,,,65 6447 0797,,,,sarah@remnants.com.sg,,,LIVE COMPANY
38,52818326E,SHI SHENG CLAYPOT FROG,SHI SHENG CLAYPOT FROG,,,65 8333 9999,,,,Scz9d@yahoo.com.Sg, multienergysavings@gmail.com,,LIVE
39,201807681G,SHIVAM RESTAURANT PTE. LTD.,SHIVAM RESTAURANT PTE. LTD.,,,65 9673 6653,,,,krishnamani_k@yahoo.com,,,LIVE COMPANY
40,T15LL0082A,SIAM SQUARE MOOKATA LLP,SIAM SQUARE MOOKATA PTE LTD,,,65 9056 8070,,,,rose@pocoloco.com.sg,,,LIVE
41,202144640H,SMOKE & ATELIER CO PTE. LTD.,SMOKE & ATELIER CO PTE. LTD.,,,65 8894 7367,,,,wangmrcs@yahoo.com.sg,,,LIVE COMPANY
42,199905003K,SOFRA INTERNATIONAL FOOD PTE LTD,SOFRA INTERNATIONAL FOOD PTE LTD,,,65 9616 2886,,,,accounts@sofra.com.sg,,,LIVE COMPANY
43,199704731E,SUMMIT CATERING SERVICES PTE LTD,SUMMIT CATERING SERVICES PTE LTD,,,65 9145 6813,,,,marinecorner@singnet.com.sg,,,LIVE COMPANY
44,52946635W,SUN KOPITIAM,SUN KOPITIAM,,,65 8686 8656,,,,sunkopitiam@hotmail.com,,,LIVE
45,199409611R,EDO SUSHI PTE LTD,SUSHI EDO PTE LTD,,,65 6348 6613,,,,,,,LIVE COMPANY
46,199405285E,SUSHI-TEI PTE LTD,SUSHI TEI PTE LTD,,,65 6376 2221,,,,geokhoen@sushitei.com, gavinng@sushitei.com, finance@sushitei.com,LIVE COMPANY
47,42899000B,TANG KAY KEE EATING STALL,TANG KAY KEE EATING STALL,,,65 8157 2641,,,,debbieywg@gmail.com,,,LIVE
48,53264074L,THE FROSTED CHICK,THE FROSTED CHICK,,,65 9488 2226,,,,Frostedsg@gmail.com,,,LIVE
49,53437094B,THE PLANT FOOD.CO,THE PLANT FOOD,,,65 8182 4577,,,,theplantfood.co@gmail.com,,,LIVE
50,39513200B,THIAM YIAN CONFECTIONERY,THIAM YIAN CONFECTIONERY,,,65 6458 1478,,,,thiamyianconfectionery@gmail.com,,,LIVE
51,53080254J,HEPO KEJIA LEICHA SUPPLY,HEPO KEJIA LEICHA SUPPLY,,,65 9339 8979,,,,hello@thunderbolt.sg,,,LIVE
52,201101430Z,UDC PTE. LTD.,UDC PTE. LTD.,,,65 8343 1521,,,,chaitali@angloindian.com.sg,,,LIVE COMPANY
53,201115099Z,VEGANFOODS GLOBAL PRIVATE LIMITED,VEGANFOODS GLOBAL PTE LTD,,,65 9726 8297,,,,mayuri@veganburg.com,,,LIVE COMPANY
54,T16LL1912B,VICTORY BOAT NOODLE CAFE LLP,VICTORY BOAT NOODLE CAFE LLP,,,65 8126 2168,,,,victoryboatnoodlescafe@hotmail.com,,,LIVE
55,199606638R,WALA WALA CAFE BAR PTE LTD,WALA WALA CAFE BAR PTE LTD,,,65 6462 4288,,,,stanley@walawala.sg, accounts@walawala.sg,,LIVE COMPANY
56,53041278X,WARUNG M NASIR,WARUNG M NASIR,,,65 9010 5188,,,,warungmnasir@yahoo.com,,,LIVE
57,201924528D,WEI DAO FOOD PTE. LTD.,WEI DAO FOOD PTE. LTD.,,,65 6533 2477,,,,pacificmanpower168@gmail.com,,,LIVE COMPANY
58,198703403D,YHINGTHAI PALACE RESTAURANT PTE LTD,YHINGTHAI PALACE RESTAURANT PTE LTD,,,65 6337 1161,,,,,,,LIVE COMPANY
59,200300417R,YUAN WEI QUAN VEGETARIAN PTE. LTD.,YUAN WEI QUAN VEGETARIAN PTE. LTD.,,,65 9687 8535,,,,candrafst@gmail.com,,,LIVE COMPANY
60,53169923D,1-ALTITUDE,1 ALTITUDE,,,65 6773 0070,,,,info@1-altitude.com,,,LIVE
61,35250000W,A B MOHAMED RESTAURANT,A.B.MOHAMED RESTAURANT,,,65 6298 1010,,,,abmrest@abmgroup.com.sg,,,LIVE
62,T06LL1303L,AGLIO OLIO BISTRO LLP,AGLIO OLIO BISTRO ,,,65 6327 3622,65 6266 0643,,,clement@aglioolio.com.sg, glio@aglioolio.com.sg,,LIVE
63,52898174M,AMIRAH'S GRILL RESTAURANT & CAFE,AMIRAH'S GRILL RESTAURANT & CAFE ,,,48 659383199,,,,enquiry@amirahsgrill.com,,,LIVE
64,52908915K,328 KATONG LAKSA,328 KATONG LAKSA,,,65 9732 8163,,,,328katonglaksa@gmail.com, jamesleeweijie@gmail.com,,LIVE
65,200608015W,ASIAN HALALFOOD PTE. LTD.,ASIAN HALALFOOD PTE. LTD.,,,65 6261 6887,,,,ashraffali2001@gmail.com,,,LIVE COMPANY
66,T06LL1594A,BONKERS PUB LLP,BONKERS PUB,,,65 6226 3817,,,,bonkerschng@hotmail.com,,,LIVE
67,51207300K,BRAZIL CHURRASCO,BRAZIL CHURRASCO,,,65 9657 2472,,,,mugan@brazilchurrasco.com,,,LIVE
68,201421750R,BREAD STREET KITCHEN PTE. LIMITED,BREAD STREET KITCHEN,,,65 6688 5665,,,,john.quetier@marinabaysands.com,,,LIVE COMPANY
69,53417137X,CHEF'S TABLE,CHEF'S TABLE,,,65 6224 4188,,,,chefstable@2015L.com,,,LIVE
70,53034617J,CHENG'S SEAFOOD VILLAGE,CHENG'S SEAFOOD VILLAGE,,,65 6892 5590,,,,-,,,LIVE
